id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
59388674,Túi đeo chéo nam nữ (unisex) đơn giản không kém phần lịch lãm (Nhiều mẫu để chọn),mirrortowers MT,141000,42000,99000,30,60,4.1,20,114139,DC MART,1156,4.341,False,3457,558
217182987,Túi Đeo Chéo Da Thời Trang Nam BT07 Cặp Bao Tử Phong Cách Nam Tính,OEM,400000,0,400000,0,2,5,1,222200,Canvin watch,612,4.7179,False,78,6
205148606,Bóp ví mini da nam cầm tay trơn nhiều ngăn đựng thẻ nhỏ gọn - al0ha Shop,OEM,58000,16240,41760,28,1,5,1,305252,al0ha Shop,245,5,False,6,1
155776132,Túi đeo chéo nam nữ unisex phong cách ulzzang sợi polyesster cao cấp chống thấm nước Haoshuai S2,OEM,149000,0,149000,0,67,5,24,172756,Sport New Store,799,4.3676,False,1507,573
117036103,"Ví Nam Cao Cấp, Da Bò NAPA Láng Mịn, Mỏng Nhẹ, Size Lớn, Kiểu Cổ Điển Tinh Tế - Sang Trọng, Dáng Ngang - Gập 2, Ngăn Đựng Tiền Có Khóa Kéo, Nhiều Ngăn Để Giấy Tờ Tiện Dụng - Hàng Chính Hãng SAIGIO",SAIGIO,1199000,21000,1178000,2,26,5,11,99861,SAIGIO,1242,4.8247,True,251,556
140174185,Túi Đeo Chéo Đen DOUBLE BAG Nhỏ Du Lịch Thời Trang Vải Canvas Cao Cấp Chống Thấm Nước Bao Tử Rẻ Tiện Nam Nữ DOLANTO,Dolanto,128000,0,128000,0,1,5,1,155068,Dolanto,921,4.5742,True,714,247
170498952,Bóp đựng tiền nhiều ngăn Simple Vertical Wallet V3 chính hãng NATOLI cầm tay kháng nước cao cấp,NATOLI,179000,0,179000,0,93,4.5,40,234349,NATOLI OFFICIAL,552,4.5242,True,124,147
247334781,Túi Đeo Chéo Nam Nữ Da Đen Thời Trang Unisex Phong Cách Chất Liệu Cao Cấp Chống Nước Besti - Hàng Chính Hãng,Besti,210000,0,210000,0,4,5,1,143736,Besti,958,4.6705,True,780,68
75418303,"Bóp Ví Dài Nam Nữ KEIO NIPPON Da Bò Mill Cao Cấp Nhập Khẩu, Kích Thước 18x9x2cm VID-GAP001",KEIO NIPPON,349000,0,349000,0,105,4.6,48,80676,KEIO NIPPON STORE,1330,4.6538,True,1895,528
181914352,Ví nam da bò thời trang cao cấp kiểu dáng nối ngang thương hiệu Jun Secret NN056 nhiều màu sắc,Jun Secret,199000,0,199000,0,1,4,1,231461,Jun Secret Official,493,4.3953,True,43,33
193723534,"Túi Đeo Chéo, Túi Bao Tử Đa Năng, Mẫu Thể Thao Năng Động Chống Thấm Nước, Có 4 Ngăn Đựng Đồ Tiện Dụng",XUDI,60000,0,60000,0,8,5,1,250437,XỐP DÁN TƯỜNG 3D BÌNH TÂN,525,4.4442,False,457,167
4170175,Túi Đeo Chéo Một Quai In Hình Music,OEM,123000,18000,105000,15,31,4.8,11,178280,TiGI HOUSE,771,4.7106,False,1206,284
213676659,Ví nam mini kiểu đứng nhiều ngăn bỏ túi nhỏ gọn K9101,OEM,210000,105000,105000,50,2,5,1,177942,Bosumy Store,773,4.5376,False,93,20
197554307,Bao da ví lạnh Safepal-Hàng chính hãng,SafePal,350000,152000,198000,43,1,5,1,267999,Congngheso247,444,4.8947,False,19,20
174371860,Ví nam Gence da bò Box C06 dáng ngang,Gence,400000,0,400000,0,2,3,2,18298,Gence Official,1593,4.3684,True,38,76
146987945, Ví Da Nam Nhiều Ngăn VD04 Kiểu Đứng Đơn Giản Cá Tính,OEM,52000,14000,38000,27,6,4.7,3,220480,Windywatch,620,4.8471,False,85,5
206250476,Ví cầm tay nam - ví nam cao cấp Full hộp WilliamPOLO -  V34,williampolo,725000,0,725000,0,5,5,1,310571,POLOWilliamPOLO,207,4.5667,False,30,34
75417728,"Bóp Ví Dài Nam Nữ KEIO NIPPON Da Bò Mill Cao Cấp Nhập Khẩu, Đựng Điện Thoại, Hộ Chiếu Kích Thước 20x11x2.5 cm VID0003",KEIO NIPPON,469000,0,469000,0,58,5,30,80676,KEIO NIPPON STORE,1330,4.6538,True,1895,528
67499869,BCT ( Xả hàng) Bộ đũi nam phong cách Hàn quốc,OEM,149000,0,149000,0,47,4.6,16,147177,Chuyên quần áo đũi Thyear,983,4.3202,False,559,119
90195557,Bộ quần áo thu đông nam vải nỉ big size dành cho người béo người mập,OEM,590000,141000,449000,24,14,3.7,6,178790,SHOP ZENBIG,770,4.4511,False,184,118
100910567,Bộ Mặc Nhà Nam Kiểu Dáng Hiện Đại Phối Màu Thời Trang ZERO,Zero,300000,101000,199000,34,17,3,4,9644,Aviano Official Store,1610,4.3263,True,11908,4704
184777322,Bộ quần áo nam đũi mùa hè chất mềm mịn mặc mát thoải mái ARU SHOP,OEM,152000,0,152000,0,1,0,0,136042,1993 SHOP,770,4.5345,False,58,17
217723066,"(Giao Hỏa Tốc) Trang Phục Hóa Trang Lính Cứu Hỏa Cho Bé, Bộ Đồ Hóa Trang Lính Cứu Hỏa Cho Trẻ Em và Người Lớn",OEM,189000,0,189000,0,1,0,0,62016,Trang Phục Biểu Diễn TN Store,1402,4.1486,False,424,127
