id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_product_id,seller_avg_rating,is_official,review_count,total_follower
34911128,Hộp 4 chiếc quần sịp đùi nam thông hơi CAO CẤP kèm hộp,OEM,96000,0,96000,0,118.0,4.1,174489162.0,4.5436,False,4553.0,2040.0
94107643,"Áo sơ mi đen nam mặc đẹp nơi công sở, áo sơ mi cổ trụ vải lụa đen co giãn kiểu trơn basic",OEM,75000,0,75000,0,45.0,4.2,180403354.0,4.5436,False,4553.0,2040.0
20525982,Áo sơ mi nam tay dài Khatoco A1MD598T1-THCR077-2005-D,KHATOCO ,598000,409000,189000,68,96.0,5.0,20526003.0,4.5436,False,4553.0,2040.0
20534154,Áo Sơ Mi Nam Tay Dài Khatoco A1MD598T1-THCR075-2005-D,KHATOCO ,598000,0,598000,0,121.0,4.8,20534177.0,4.5436,False,4553.0,2040.0
81825319,Quần đùi nam mặc ở nhà quần thun lạnh mềm mát hút mồ hôi tốt size 50-80kg,OEM,24000,0,24000,0,930.0,4.5,105374360.0,4.5436,False,4553.0,2040.0
111972654,Quần Túi Hộp Tháo Ống US ARMY U880 Chuyên Phượt Chất Vải Gió Cao Cấp Mau Khô Ống Có Thể Tháo Rời Làm Quần Short -HÀNG CHÍNH HÃNG,US ARMY,698000,376000,322000,54,236.0,4.6,174105600.0,4.5436,False,4553.0,2040.0
199243351,"Áo Khoác Gió Thể Thao Nam 5S (5 Màu), Chất Liệu Cao Cấp, Trượt Nước, Cản Gió, Thiết Kế Khỏe Khoắn (AKG22009)",5S,859000,502000,357000,58,247.0,4.8,199243369.0,4.5436,False,4553.0,2040.0
52251333,"Áo Thun Nam Cổ Bẻ, Cổ Trụ, Thương Hiệu DOKA, 4 Chiều Cao Cấp ( 8 Màu) ,thiết kế, tay ngắn, trẻ trung, khỏe khoắn, đường may tỉ mỉ",Doka,39000,10000,29000,26,56.0,4.6,180399115.0,4.5436,False,4553.0,2040.0
142409966,Áo Thể Thao Nam Polo TSIMPLE cổ bẻ tay ngắn vải thun lạnh thoáng mát phong cách trẻ trung chuẩn form MSSAHCD,Tsimple,206000,87000,119000,42,138.0,4.7,142409974.0,4.5436,False,4553.0,2040.0
20518115,Quần Kaki Nam Khatoco Q2M468R1-VNMA012-1811-1,KHATOCO ,468000,0,468000,0,557.0,4.7,20518132.0,4.5436,False,4553.0,2040.0
111560211,Quần Túi Hộp Nam Kaki Thời Trang Phong Cách Thể Thao US678 Chất Vải Kaki Cao Cấp Phong Cách Lính- HÀNG CHÍNH HÃNG,US ARMY,658000,366000,292000,56,118.0,5.0,174134403.0,4.5436,False,4553.0,2040.0
22654009,Hộp 4 quần lót nam Boxer ( quần sịp đùi ) hàng nhập câp cấp QL4,Nanjiren,350000,121000,229000,35,226.0,4.5,22654017.0,4.5436,False,4553.0,2040.0
9730171,"Combo 10 Quần Lót Nam nhiều lưng vải cotton 2 chiều hiệu CITYMEN, màu ngẫu nhiên, sịp nam - LMTK-MULTI2C",CITYMEN,200000,98000,102000,49,2673.0,4.5,9730183.0,4.5436,False,4553.0,2040.0
125516655,"Quần Lót Nam Tam Giác 5S (5 Màu), Chất Cotton Premium, Co Giãn, Thấm Hút, Kháng Khuẩn Cực Tốt (SIP21003BRF)",5S,85000,41000,44000,48,348.0,4.8,125516665.0,4.5436,False,4553.0,2040.0
217275832,"Áo Polo Nam 5S KEEP ON, Chất Viscose Siêu Mát, Mềm Mượt, Phom REGULARFIT Thoải Mái, Thiết Kế Trẻ Trung (APC23020)",5S,389000,190000,199000,49,46.0,5.0,217275844.0,4.5436,False,4553.0,2040.0
56919853,Áo Len Cổ Lọ Nam SZone SAL222 Phong Cách Hàn Quốc,SZone,129000,0,129000,0,542.0,4.5,56919880.0,4.5436,False,4553.0,2040.0
145263868,"Combo 3 quần sịp đùi, set 3 quần lót nam ARISTiNO chất liệu Cotton Organic mềm mại, thoáng mát, kháng khuẩn, khử mùi cực tốt ABX056",Aristino,375000,95500,279500,25,164.0,4.8,145263872.0,4.5436,False,4553.0,2040.0
11203758,Combo 4 Quần Lót Đùi Nam Thông Hơi Thoáng Mát (Giao Màu Ngẫu Nhiên),OEM,102000,23000,79000,23,29.0,4.5,84985736.0,4.5436,False,4553.0,2040.0
114671372,Áo thun nam cổ tròn cao cấp ngắn tay đẹp chất vải cotton co giãn 4 chiều thoáng mát ZAVAS  Z13,ZAVAS,289000,90000,199000,31,362.0,4.8,114671386.0,4.5436,False,4553.0,2040.0
205231567,"Combo 3 Quần Lót Nam Thun Cotton OneZ Dáng Trunk Co Giãn, Thoải Mái - QL1",ONEZ,199000,80000,119000,40,83.0,4.6,205231573.0,4.5436,False,4553.0,2040.0
115832681,"[SALE SỐC] Áo khoác blazer nam ,áo vest nam balzer nam phong cách Hàn Quốc - DUKI STORE",OEM,359000,0,359000,0,285.0,4.5,115832687.0,4.5436,False,4553.0,2040.0
20526900,Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN438S1-CNIN087-2011-N,KHATOCO ,438000,269000,169000,61,7.0,4.6,20526945.0,4.5436,False,4553.0,2040.0
215903778,Áo Polo Nam CARDINA Chất Cotton CVC Cao Cấp Áo Thun Cổ Bẻ Cộc Tay Mềm Mại Thoáng Mát 3APM01,cardina elegant all four seasons,399000,180000,219000,45,50.0,5.0,215903792.0,4.5436,False,4553.0,2040.0
102122394,Combo 4 Quần lót boxer nam - Quần sịp đùi su đúc lụa sữa cao cấp không đường may Micado,Micado,280000,121000,159000,43,127.0,4.5,102122404.0,4.5436,False,4553.0,2040.0
126700166,"Quần Jean nam basic cao cấp LADOS - 4035 form slimfit, vải đẹp",LADOS,500000,185000,315000,37,542.0,4.7,126700182.0,4.5436,False,4553.0,2040.0
4965821,"Combo 4 Quần Lót Nam vải lạnh co giãn 4 chiều lưng CITYMEN cao cấp, đồ lót - LMTK-CTMAL",CITYMEN,180000,95900,84100,53,1815.0,4.6,4965829.0,4.5436,False,4553.0,2040.0
179216239,"Combo 3 quần lót boxer trơn, chất thun mềm mịn thấm hút mồ hôi tố, co giãn tốt,  - FORMEN SHOP - FMQS018",ARADO FASHION,250000,102000,148000,41,111.0,4.5,179216247.0,4.5436,False,4553.0,2040.0
117083129,"Áo khoác dù nam nữ chạy sọc tay siêu đẹp,phong cách cá tính tự tin,vải dù 2 lớp chống nắng giử nhiệt hiệu quả,Áo khoác dù 1 sọc ,áo khoù dù , áo khoác gió",NIU24,102000,0,102000,0,49.0,3.9,117083133.0,4.5436,False,4553.0,2040.0
110112308,Combo 5 bao quần lót giấy du lịch PP Travel - Mate Nam 5 quần/bao,Travel-Mate,150000,28000,122000,19,278.0,4.8,110112310.0,4.5436,False,4553.0,2040.0
67516618,Áo sơ mi nam tay ngắn xanh nhạt họa tiết Khatoco A1MN388T2-ININ029-2111-N,KHATOCO ,388000,0,388000,0,26.0,5.0,67516620.0,4.5436,False,4553.0,2040.0
186133766,"Quần Short Kaki Nam US ARMY, Quần Túi Hộp Nam Phong Cách Lính Chất Liệu KaKi Cao Cấp, Kiểu Dáng Trẻ Trung Năng Động -HÀNG CHÍNH HÃNG",US ARMY,598000,338000,260000,57,159.0,4.7,186133768.0,4.5436,False,4553.0,2040.0
20526933,Quần Short Nam Khatoco Q3M378R0-CNMA003-2009-009,KHATOCO ,378000,0,378000,0,115.0,4.7,20526980.0,4.5436,False,4553.0,2040.0
20521761,Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN538T1-CNCR116-2010-N,KHATOCO ,538000,0,538000,0,149.0,5.0,20521770.0,4.5436,False,4553.0,2040.0
20518143,Quần Short Nam Khatoco Q3M318R0-VNMA029-2009-018,KHATOCO ,318000,189000,129000,59,281.0,4.8,20518153.0,4.5436,False,4553.0,2040.0
62365055,"Combo 4 Quần Lót Nam Boxer Thông Hơi Lưng Nhật Thoáng Mát , Quần Sịp Đùi Thông Hơi Cao cấp - (Giao Màu Ngẫu Nhiên)",CITYMEN,73000,0,73000,0,296.0,4.5,84568163.0,4.5436,False,4553.0,2040.0
176599627,"Áo polo nam ngắn tay có cổ Vicenzo regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn",OEM,75000,0,75000,0,139.0,4.6,176599654.0,4.5436,False,4553.0,2040.0
107186342,"Quần Tây Âu Nam Co Giãn Nhẹ Dáng Ôm, Quần Nam Công Sở Lịch Sự Phù Hợp Mọi Hoàn Cảnh Thương Hiệu Chandi Mã NT334",Chandi,299000,164000,135000,55,740.0,4.3,107186360.0,4.5436,False,4553.0,2040.0
155494342,Áo thun unisex MonsterX Love Wind phông tay lỡ nam nữ form rộng Oversize,OEM,109000,0,109000,0,3.0,5.0,155494579.0,4.5436,False,4553.0,2040.0
162033266,Áo POLO Nam- Áo thun Nam Ngắn tay có cổ Vải Cotton Cá Sấu Cao Cấp,OEM,159000,0,159000,0,19.0,3.9,162033298.0,4.5436,False,4553.0,2040.0
91588865,Áo thun nam cổ bẻ chất vải thun cá sấu,OEM,89000,0,89000,0,18.0,3.9,91588894.0,4.5436,False,4553.0,2040.0
151801252,QUẦN LÓT NAM - Dạng Dây NỔI BẬT- Nâng Mông Nhẹ - Mặc Cực Đã,OEM,59000,0,59000,0,37.0,5.0,151801681.0,4.5436,False,4553.0,2040.0
146080196,Quần kaki nam ZENTOMAN trung niên thanh niên ống suông co giãn mềm mịn trơn cao cấp QKK21,Zentoman,333000,0,333000,0,54.0,4.0,146080233.0,4.5436,False,4553.0,2040.0
58987438,Áo khoác jean nam thời trang cao cấp 02,OEM,195000,0,195000,0,97.0,4.3,71925503.0,4.5436,False,4553.0,2040.0
158790448,"Quần jogger nam trơn chất gió mềm mịn phối màu Gradient, phong cách đường phố, hàn quốc",OEM,165000,0,165000,0,61.0,4.7,158790478.0,4.5436,False,4553.0,2040.0
207946158,Áo thun tay lỡ Basic in cao thành phông Unisex nam nữ Cotton oversize form rộng LUNACY,Lunacy,369000,130000,239000,35,7.0,5.0,207946180.0,4.5436,False,4553.0,2040.0
